"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(91, 70)","(108, 64)","(121, 72)","(125, 85)","(110, 94)","(96, 85)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(51, 58)",9.8 km/h
"(91, 70)","(108, 64)","(121, 72)","(125, 85)","(110, 94)","(96, 85)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(51, 58)",9.8 km/h
"(92, 68)","(108, 64)","(118, 69)","(125, 85)","(110, 94)","(96, 85)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(51, 58)",9.8 km/h
"(92, 68)","(108, 64)","(118, 69)","(125, 85)","(110, 94)","(96, 85)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(51, 58)",9.8 km/h
"(92, 68)","(108, 64)","(118, 69)","(125, 85)","(110, 94)","(96, 85)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(51, 58)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(91, 70)","(108, 64)","(121, 72)","(125, 84)","(110, 94)","(96, 85)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(91, 70)","(108, 64)","(121, 72)","(125, 85)","(110, 94)","(96, 85)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(51, 58)",9.8 km/h
"(91, 70)","(108, 64)","(121, 72)","(125, 85)","(110, 94)","(96, 85)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(51, 58)",9.8 km/h
"(91, 70)","(108, 64)","(121, 72)","(125, 85)","(110, 94)","(96, 85)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(71, 66)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(47, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(33, 62)","(32, 49)","(51, 58)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(70, 67)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(46, 40)","(63, 46)","(71, 66)","(58, 77)","(37, 68)","(32, 49)","(51, 58)",9.8 km/h
"(103, 63)","(117, 68)","(125, 85)","(114, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(125, 85)","(114, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(125, 85)","(114, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(125, 85)","(114, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(125, 85)","(114, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(125, 85)","(114, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(125, 85)","(114, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(125, 85)","(114, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(125, 85)","(114, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(125, 85)","(114, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(103, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(104, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(104, 63)","(117, 68)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(104, 63)","(117, 68)","(125, 85)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(104, 63)","(117, 68)","(125, 85)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(104, 63)","(117, 68)","(125, 85)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(104, 63)","(117, 68)","(125, 85)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(104, 63)","(117, 68)","(125, 85)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(104, 63)","(119, 70)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(104, 63)","(119, 70)","(124, 86)","(113, 94)","(100, 89)","(91, 71)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
