"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS(Frame Per Second)
"(53, 16)","(69, 27)","(69, 41)","(49, 48)","(33, 38)","(32, 25)",,,,
"(30, 20)","(34, 44)","(47, 51)","(71, 46)","(70, 22)","(53, 14)",,,,
"(34, 22)","(52, 16)","(66, 23)","(68, 43)","(50, 48)","(35, 41)",,,,
"(34, 22)","(52, 16)","(66, 23)","(68, 43)","(50, 48)","(35, 41)",,,,
"(31, 18)","(34, 44)","(47, 51)","(73, 45)","(69, 21)","(52, 13)",,,,
"(31, 18)","(34, 44)","(48, 51)","(71, 46)","(69, 21)","(54, 14)",,,,
"(31, 18)","(34, 44)","(48, 51)","(73, 45)","(69, 21)","(54, 14)",,,,
"(33, 23)","(49, 17)","(65, 22)","(69, 42)","(53, 48)","(33, 38)",,,,
"(32, 16)","(31, 42)","(48, 51)","(71, 48)","(70, 22)","(51, 13)",,,,
"(32, 16)","(34, 44)","(48, 51)","(73, 45)","(70, 22)","(51, 13)",,,,
"(32, 16)","(34, 44)","(48, 51)","(73, 45)","(70, 22)","(51, 13)",,,,
"(31, 19)","(32, 43)","(48, 51)","(73, 44)","(69, 21)","(54, 14)",,,,
"(32, 17)","(31, 42)","(48, 51)","(71, 46)","(70, 22)","(55, 14)",,,,
"(52, 13)","(32, 18)","(30, 40)","(47, 51)","(72, 44)","(70, 22)",,,,
"(52, 13)","(32, 18)","(30, 40)","(47, 51)","(72, 44)","(70, 22)",,,,
"(53, 13)","(30, 20)","(30, 40)","(47, 51)","(72, 44)","(71, 24)",,,,
"(52, 13)","(32, 18)","(30, 40)","(47, 51)","(72, 44)","(71, 24)",,,,
"(52, 13)","(32, 18)","(30, 40)","(47, 51)","(72, 44)","(71, 24)",,,,
"(32, 15)","(33, 43)","(48, 51)","(73, 44)","(70, 22)","(54, 14)",,,,
"(34, 23)","(58, 19)","(69, 28)","(69, 43)","(50, 48)","(31, 39)",,,,
"(34, 23)","(58, 19)","(69, 28)","(69, 43)","(50, 48)","(31, 39)",,,,
"(34, 23)","(50, 17)","(69, 28)","(69, 43)","(50, 48)","(31, 39)",,,,
"(32, 16)","(32, 43)","(47, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(32, 16)","(32, 43)","(47, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(32, 16)","(32, 43)","(47, 51)","(72, 45)","(70, 22)","(54, 14)",,,,
"(34, 22)","(53, 16)","(67, 24)","(68, 43)","(44, 46)","(32, 37)",,,,
"(32, 16)","(32, 43)","(47, 51)","(73, 44)","(70, 22)","(53, 13)",,,,
"(32, 16)","(32, 43)","(47, 51)","(73, 44)","(70, 21)","(51, 13)",,,,
"(32, 16)","(32, 43)","(47, 51)","(73, 44)","(70, 21)","(51, 13)",,,,
"(32, 16)","(33, 44)","(47, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(32, 15)","(33, 43)","(48, 51)","(71, 46)","(69, 21)","(52, 13)",,,,
"(32, 17)","(30, 41)","(48, 51)","(72, 46)","(70, 22)","(54, 14)",,,,
"(32, 17)","(30, 41)","(48, 51)","(72, 46)","(70, 22)","(54, 14)",,,,
"(33, 23)","(48, 17)","(66, 23)","(68, 43)","(53, 48)","(32, 37)",,,,
"(33, 23)","(48, 17)","(66, 23)","(68, 43)","(53, 48)","(32, 37)",,,,
"(30, 20)","(34, 44)","(47, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(30, 20)","(34, 44)","(47, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(33, 23)","(49, 17)","(66, 23)","(68, 43)","(51, 48)","(33, 37)",,,,
"(34, 23)","(49, 17)","(66, 23)","(68, 43)","(44, 46)","(32, 37)",,,,
"(34, 22)","(50, 17)","(69, 27)","(68, 43)","(50, 48)","(35, 41)",,,,
"(31, 18)","(34, 44)","(48, 51)","(71, 46)","(69, 21)","(53, 14)",,,,
"(34, 22)","(50, 17)","(69, 27)","(68, 43)","(50, 48)","(35, 41)",,,,
"(34, 22)","(50, 17)","(69, 27)","(68, 43)","(50, 48)","(35, 41)",,,,
"(30, 20)","(32, 43)","(48, 51)","(71, 46)","(70, 22)","(55, 14)",,,,
"(34, 22)","(51, 16)","(64, 22)","(68, 43)","(49, 48)","(32, 37)",,,,
"(34, 22)","(51, 16)","(69, 28)","(68, 43)","(52, 48)","(32, 37)",,,,
