"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(13, 35)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(13, 35)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(13, 35)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(13, 35)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(42, 19)","(55, 33)","(49, 48)","(32, 58)","(14, 37)","(26, 20)"
"(42, 19)","(55, 33)","(49, 48)","(32, 58)","(14, 37)","(26, 20)"
"(43, 19)","(53, 39)","(46, 51)","(27, 56)","(13, 34)","(24, 21)"
"(43, 19)","(53, 39)","(46, 51)","(27, 56)","(12, 36)","(25, 20)"
"(43, 19)","(53, 39)","(46, 51)","(27, 56)","(13, 34)","(25, 20)"
"(43, 19)","(53, 39)","(46, 51)","(27, 56)","(13, 34)","(25, 20)"
"(43, 19)","(53, 39)","(46, 51)","(27, 56)","(13, 34)","(26, 21)"
"(43, 19)","(53, 39)","(46, 51)","(27, 56)","(13, 34)","(24, 21)"
"(43, 19)","(53, 39)","(46, 51)","(27, 56)","(13, 34)","(24, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 35)","(25, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 36)","(25, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 36)","(25, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(15, 37)","(25, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(25, 20)"
