"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(51, 27)","(70, 20)","(86, 29)","(87, 45)","(62, 50)","(51, 41)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(48, 24)","(50, 47)","(65, 55)","(90, 50)","(87, 25)","(71, 17)",,,,,,,
"(48, 24)","(52, 48)","(65, 55)","(90, 50)","(87, 25)","(69, 17)",,,,,,,
"(48, 24)","(52, 48)","(65, 55)","(90, 48)","(84, 24)","(69, 17)",,,,,,,
"(48, 24)","(52, 48)","(65, 55)","(90, 48)","(88, 26)","(69, 17)",,,,,,,
"(48, 24)","(50, 47)","(68, 55)","(90, 48)","(88, 26)","(69, 17)",,,,,,,
"(51, 27)","(66, 21)","(87, 31)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(50, 20)","(50, 47)","(66, 55)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(52, 27)","(66, 21)","(87, 31)","(86, 47)","(60, 49)","(50, 40)",,,,,,,
"(49, 23)","(50, 47)","(66, 55)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(50, 29)","(70, 20)","(86, 29)","(87, 45)","(62, 50)","(51, 42)",,,,,,,
"(48, 24)","(48, 45)","(60, 53)","(91, 48)","(90, 29)","(68, 17)",,,,,,,
"(50, 29)","(72, 21)","(86, 29)","(87, 45)","(62, 50)","(51, 42)",,,,,,,
"(48, 24)","(48, 45)","(60, 53)","(91, 48)","(87, 25)","(69, 17)",,,,,,,
"(50, 29)","(70, 20)","(86, 29)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(50, 29)","(70, 20)","(85, 29)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(48, 24)","(47, 43)","(58, 52)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(50, 29)","(70, 20)","(86, 29)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(48, 24)","(47, 43)","(60, 53)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(48, 24)","(50, 47)","(68, 55)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(49, 22)","(50, 47)","(68, 55)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(50, 22)","(50, 47)","(63, 54)","(91, 48)","(83, 23)","(69, 17)",,,,,,,
"(51, 27)","(66, 21)","(87, 31)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(50, 22)","(50, 47)","(63, 54)","(91, 48)","(83, 23)","(69, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(68, 52)","(50, 40)",,,,,,,
"(48, 23)","(50, 47)","(66, 55)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(67, 21)","(83, 27)","(86, 47)","(68, 52)","(50, 40)",,,,,,,
"(48, 24)","(50, 47)","(66, 55)","(89, 50)","(86, 24)","(69, 17)",,,,,,,
"(51, 27)","(76, 23)","(87, 31)","(86, 47)","(68, 52)","(50, 40)",,,,,,,
"(48, 23)","(50, 47)","(66, 55)","(89, 50)","(87, 25)","(73, 18)",,,,,,,
"(51, 27)","(76, 23)","(87, 32)","(86, 47)","(62, 50)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(63, 54)","(89, 50)","(87, 25)","(69, 17)",,,,,,,
"(51, 27)","(76, 23)","(87, 32)","(86, 47)","(62, 50)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(68, 55)","(89, 50)","(87, 25)","(69, 17)",,,,,,,
"(51, 27)","(70, 20)","(87, 32)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(48, 24)","(47, 43)","(58, 52)","(91, 48)","(88, 26)","(71, 17)",,,,,,,
"(51, 27)","(70, 20)","(85, 28)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(48, 24)","(47, 43)","(58, 52)","(91, 48)","(88, 26)","(71, 17)",,,,,,,
"(51, 27)","(66, 21)","(83, 27)","(86, 47)","(68, 52)","(50, 40)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(76, 23)","(87, 31)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(48, 24)","(47, 43)","(64, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(52, 26)","(67, 21)","(87, 31)","(86, 46)","(62, 50)","(50, 41)",,,,,,,
"(49, 22)","(50, 47)","(64, 54)","(91, 48)","(86, 24)","(71, 17)",,,,,,,
"(51, 27)","(72, 21)","(85, 29)","(87, 45)","(65, 51)","(50, 41)",,,,,,,
"(49, 23)","(47, 43)","(60, 53)","(91, 48)","(86, 24)","(71, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(65, 51)","(50, 41)",,,,,,,
"(49, 23)","(47, 44)","(60, 53)","(91, 48)","(87, 25)","(69, 17)",,,,,,,
