"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(39, 45)","(61, 37)","(75, 45)","(76, 62)","(52, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 44)","(61, 37)","(76, 47)","(76, 62)","(52, 67)","(40, 59)","(57, 52)",,,,,,,
"(62, 32)","(37, 40)","(38, 62)","(55, 71)","(79, 66)","(78, 43)","(57, 52)",,,,,,,
"(40, 43)","(56, 37)","(71, 42)","(76, 62)","(60, 68)","(39, 58)","(57, 52)",,,,,,,
"(40, 43)","(65, 39)","(76, 47)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(40, 43)","(57, 37)","(71, 42)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(76, 47)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(52, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(76, 47)","(77, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 63)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(76, 47)","(76, 62)","(52, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(76, 47)","(76, 62)","(52, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 45)","(76, 62)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 45)","(76, 62)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(40, 44)","(65, 39)","(76, 47)","(76, 63)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(76, 47)","(76, 62)","(54, 68)","(39, 58)","(57, 52)",,,,,,,
