"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(193, 53)","(171, 58)","(170, 82)","(186, 91)","(212, 84)","(211, 63)"
"(192, 9)","(204, 28)","(193, 44)","(176, 46)","(162, 33)","(174, 13)"
"(171, 59)","(173, 84)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(173, 84)","(187, 91)","(212, 84)","(209, 61)","(194, 54)"
"(192, 6)","(173, 9)","(159, 29)","(175, 50)","(197, 43)","(207, 24)"
"(171, 59)","(172, 83)","(187, 91)","(212, 84)","(209, 61)","(191, 53)"
"(171, 59)","(173, 84)","(187, 91)","(212, 84)","(209, 61)","(194, 54)"
"(174, 62)","(193, 57)","(205, 63)","(208, 83)","(189, 88)","(177, 82)"
"(171, 59)","(173, 84)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(173, 84)","(187, 91)","(212, 84)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(160, 28)","(175, 50)","(197, 43)","(205, 30)"
"(174, 62)","(193, 57)","(205, 63)","(208, 83)","(189, 88)","(172, 77)"
"(171, 58)","(173, 84)","(187, 91)","(212, 84)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(159, 29)","(175, 49)","(197, 43)","(205, 30)"
"(174, 62)","(193, 57)","(205, 63)","(208, 83)","(189, 88)","(172, 77)"
"(171, 58)","(173, 84)","(187, 91)","(212, 84)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(160, 28)","(175, 49)","(197, 43)","(205, 30)"
"(174, 62)","(192, 57)","(205, 63)","(208, 83)","(189, 88)","(172, 77)"
"(171, 58)","(173, 84)","(187, 91)","(212, 84)","(209, 61)","(194, 54)"
"(174, 62)","(193, 57)","(207, 64)","(208, 83)","(189, 88)","(172, 77)"
"(171, 59)","(172, 83)","(187, 91)","(212, 84)","(209, 61)","(194, 54)"
"(174, 62)","(193, 57)","(207, 64)","(208, 83)","(189, 88)","(172, 77)"
"(171, 59)","(172, 83)","(187, 91)","(212, 84)","(209, 61)","(194, 54)"
"(171, 59)","(172, 83)","(187, 91)","(212, 84)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(159, 30)","(175, 49)","(197, 43)","(206, 20)"
"(171, 59)","(172, 83)","(187, 91)","(212, 84)","(209, 61)","(194, 54)"
"(171, 59)","(172, 83)","(187, 91)","(212, 84)","(209, 61)","(194, 54)"
"(171, 59)","(173, 84)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(159, 30)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(173, 84)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(159, 30)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(173, 84)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(160, 28)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(160, 28)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(160, 28)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(160, 28)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(160, 28)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(159, 29)","(175, 49)","(197, 43)","(207, 21)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(160, 28)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(160, 28)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 54)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 54)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 54)"
"(193, 6)","(173, 9)","(160, 28)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(173, 9)","(160, 28)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(172, 9)","(159, 29)","(175, 49)","(197, 43)","(205, 30)"
"(173, 63)","(189, 57)","(204, 62)","(208, 83)","(189, 88)","(175, 81)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 54)"
"(193, 6)","(171, 10)","(159, 29)","(175, 49)","(197, 43)","(205, 30)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 53)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 53)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(172, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(172, 83)","(187, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(172, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 53)"
"(171, 59)","(172, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 53)"
"(193, 53)","(169, 65)","(171, 83)","(187, 91)","(212, 84)","(212, 65)"
"(171, 59)","(172, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(172, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(172, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(172, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(170, 61)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(210, 62)","(194, 54)"
"(192, 6)","(172, 9)","(160, 28)","(175, 49)","(198, 42)","(207, 26)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(210, 62)","(194, 54)"
"(192, 6)","(172, 9)","(160, 28)","(175, 49)","(198, 42)","(207, 26)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(170, 60)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(170, 60)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(170, 60)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(173, 63)","(190, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(170, 60)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(173, 63)","(190, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(170, 60)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(173, 63)","(190, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(170, 60)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(173, 63)","(190, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(170, 60)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(173, 63)","(190, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 58)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 58)","(172, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 58)","(172, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 58)","(172, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 58)","(172, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 58)","(172, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 58)","(172, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(193, 54)"
"(194, 7)","(171, 10)","(159, 29)","(175, 49)","(199, 41)","(206, 28)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(193, 54)"
"(194, 7)","(171, 10)","(159, 29)","(175, 49)","(199, 41)","(206, 28)"
"(192, 53)","(169, 65)","(170, 82)","(186, 91)","(212, 84)","(211, 63)"
"(192, 53)","(169, 65)","(170, 82)","(186, 91)","(212, 84)","(211, 63)"
"(194, 7)","(173, 9)","(159, 29)","(175, 49)","(199, 41)","(206, 28)"
"(173, 63)","(193, 57)","(207, 64)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 54)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(211, 63)","(193, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(211, 63)","(193, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(211, 63)","(193, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(193, 54)"
"(194, 7)","(173, 9)","(160, 29)","(175, 49)","(199, 41)","(206, 28)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(193, 54)"
"(194, 7)","(173, 9)","(160, 29)","(175, 49)","(199, 41)","(206, 28)"
"(171, 59)","(171, 83)","(186, 91)","(210, 88)","(209, 61)","(193, 54)"
"(194, 7)","(173, 9)","(160, 29)","(175, 49)","(199, 41)","(206, 28)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(193, 54)"
"(191, 6)","(170, 11)","(160, 29)","(175, 49)","(199, 41)","(206, 28)"
"(171, 59)","(172, 83)","(186, 91)","(211, 86)","(209, 61)","(193, 54)"
"(191, 6)","(168, 13)","(160, 29)","(175, 49)","(199, 41)","(207, 25)"
"(192, 53)","(169, 65)","(169, 80)","(187, 91)","(212, 84)","(211, 63)"
"(191, 6)","(171, 10)","(160, 28)","(175, 49)","(199, 41)","(207, 25)"
"(171, 59)","(172, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 53)"
"(191, 6)","(171, 10)","(160, 28)","(175, 49)","(199, 41)","(207, 25)"
"(171, 59)","(172, 83)","(186, 91)","(211, 86)","(211, 63)","(193, 54)"
"(192, 6)","(170, 11)","(159, 29)","(175, 49)","(199, 41)","(207, 26)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(211, 63)","(193, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(211, 63)","(193, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(211, 63)","(193, 54)"
"(171, 59)","(172, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 53)"
"(171, 59)","(172, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 53)"
"(171, 59)","(172, 83)","(187, 91)","(211, 86)","(209, 61)","(193, 53)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(211, 63)","(193, 53)"
"(193, 53)","(169, 65)","(170, 82)","(186, 91)","(212, 84)","(211, 63)"
"(193, 53)","(169, 65)","(170, 82)","(186, 91)","(212, 84)","(211, 63)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(211, 63)","(193, 53)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(211, 63)","(193, 53)"
"(171, 59)","(171, 83)","(186, 91)","(213, 84)","(209, 61)","(194, 54)"
"(193, 53)","(169, 65)","(171, 83)","(186, 91)","(213, 84)","(211, 63)"
"(193, 6)","(172, 9)","(160, 29)","(175, 49)","(197, 43)","(207, 26)"
"(193, 53)","(169, 65)","(171, 83)","(186, 91)","(212, 84)","(211, 63)"
"(194, 7)","(172, 9)","(160, 29)","(175, 49)","(200, 42)","(207, 25)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(193, 53)","(169, 65)","(171, 83)","(186, 91)","(212, 84)","(211, 63)"
"(194, 7)","(172, 9)","(160, 29)","(175, 49)","(200, 42)","(206, 20)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(194, 7)","(172, 9)","(160, 28)","(175, 49)","(200, 42)","(206, 20)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(193, 53)","(170, 61)","(170, 82)","(186, 91)","(212, 84)","(211, 63)"
"(194, 7)","(172, 9)","(160, 28)","(175, 49)","(200, 42)","(206, 20)"
"(173, 63)","(190, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(194, 7)","(170, 11)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(173, 63)","(190, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(194, 7)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(194, 7)","(172, 9)","(160, 28)","(175, 49)","(200, 42)","(207, 25)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(193, 6)","(172, 9)","(160, 28)","(175, 49)","(200, 42)","(207, 26)"
